authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Ganguli S., Ebrahim A.H.",A qualitative analysis of Singapore's medical tourism competitiveness,2017,Tourism Management Perspectives,Article,18,"College of Business and Finance, Ahlia University, Bahrain; Rehabilitation Services Department, Periphery Hospitals Administration, Ministry of Health, Bahrain",Globalization; Health care; Human capital development; Innovation; Kingdom of Bahrain; Medical tourism; Medical tourism stakeholders; Public-Private Partnership,10.1016/j.tmp.2016.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008627135&doi=10.1016%2fj.tmp.2016.12.002&partnerID=40&md5=c6f244f0c45ac61272fcbabebbb4eae8
"Guiry M., Vequist D.G., IV",South Korea's Medical Tourism Destination Brand Personality and the Influence of Personal Values,2015,Asia Pacific Journal of Tourism Research,Article,18,"H-E-B School of Business & Administration, University of the Incarnate Word, 4301 Broadway, CPO #109, San Antonio, TX  78209, United States; Center for Medical Tourism Research, University of the Incarnate Word, 4301 Broadway, CPO #460, San Antonio, TX  78209, United States",brand personality; destination personality; medical tourism; personal values; South Korea,10.1080/10941665.2014.904804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929049991&doi=10.1080%2f10941665.2014.904804&partnerID=40&md5=44a420aea80f8a2e539bcfb5404a68fd
"Maurer F.P., Castelberg C., Braun Von A., Wolfensberger A., Bloemberg G.V., Böttger E.C., Somoskovi A.",Postsurgical wound infections due to rapidly growing mycobacteria in Swiss medical tourists following cosmetic surgery in Latin America between 2012 and 2014,2014,Eurosurveillance,Article,18,"Institute for Medical Microbiology, University of Zurich, Zurich, Switzerland; National Reference Centre for Mycobacteria, University of Zurich, Zurich, Switzerland; Division for Infectious Diseases and Hospital Epidemiology, University Hospital Zurich, Zurich, Switzerland",NA,10.2807/1560-7917.ES2014.19.37.20905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907743359&doi=10.2807%2f1560-7917.ES2014.19.37.20905&partnerID=40&md5=afec14e4450ff3c2de7a67a1aa7f22e3
"Sultana S., Haque A., Momen A., Yasmin F.",Factors affecting the attractiveness of medical tourism destination: An empirical study on india- review article,2014,Iranian Journal of Public Health,Review,18,"Dept. of Business Administration, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Masha University, Jalan University Campus (JUC), Kuala Lumpur, Malaysia",Destination competitiveness; Factors; India; Medical tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904552386&partnerID=40&md5=d3b577e546c257facfb66da8670db03b
"Imison M., Schweinsberg S.",Australian news media framing of medical tourism in low- and middle-income countries: A content review,2013,BMC Public Health,Article,18,"Sydney School of Public Health, University of Sydney, Sydney, NSW, Australia; Events, Leisure, Sport, Tourism and Arts, Management Discipline Group, University of Technology Sydney, Sydney, NSW, Australia",Australia; Content analysis; Low- and middle-income countries; Medical tourism; News media; Newspaper; Television,10.1186/1471-2458-13-109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873253067&doi=10.1186%2f1471-2458-13-109&partnerID=40&md5=b796d5d5f3d03b889b33e3bc57a7f434
"Didaskalou E.A., Nastos P.Th.",The role of climatic and bioclimatic conditions in the development of health tourism product,2003,Anatolia,Article,18,"30 TEE of Athens, 4 Drakontos Str., Athens 10442, Greece; Lab. of Climatol./Atmosph. Envrn., Department of Geography/Climatology, University of Athens, Athens, GR 157 84, Greece",Climatic and bio-climatic conditions; Greece; Health tourism; Product diversification,10.1080/13032917.2003.9687020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2142700054&doi=10.1080%2f13032917.2003.9687020&partnerID=40&md5=0118c059c7530e7a592fb26bcd13fa90
"Dryglas D., Salamaga M.",Segmentation by push motives in health tourism destinations: A case study of Polish spa resorts,2018,Journal of Destination Marketing and Management,Article,17,"AGH University of Science and Technology, Department of General Geology and Geotourism, al. Mickiewicza 30, Krakow, 30-059, Poland; Cracow University of Economics, Department of Statistics, Rakowicka 27, Krakow, 31-510, Poland",Health tourism destination; Poland; Push motive; Segmentation; Spa resort,10.1016/j.jdmm.2018.01.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041944569&doi=10.1016%2fj.jdmm.2018.01.008&partnerID=40&md5=240987b08173fcecea5d40bae33efa74
"Hoyer E.H., Young D.L., Klein L.M., Kreif J., Shumock K., Hiser S., Friedman M., Lavezza A., Jette A., Chan K.S., Needham D.M.",Toward a common language for measuring patient mobility in the hospital: Reliability and construct validity of interprofessional mobility measures,2018,Physical Therapy,Article,17,"Department of Physical Medicine and Rehabilitation, Johns Hopkins University, Baltimore, MD, United States; Division of General Internal Medicine, Johns Hopkins University; Outcome After Critical Illness and Surgery (OACIS) Group, Johns Hopkins University School of Medicine, Baltimore, MD, United States; Department of Physical Therapy, University of Nevada, 4505 S Maryland Pkwy, Box 453029, Las Vegas, NV, Las Vegas, MD  89154-3029, United States; Department of Neurosciences, Johns Hopkins Hospital, Baltimore, MD, United States; School of Public Health, Health and Disability Research Institute, Boston University, Boston, MA, United States; Department of Health Policy and Management, Johns Hopkins Bloomberg School of Public Health",NA,10.1093/ptj/pzx110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041506154&doi=10.1093%2fptj%2fpzx110&partnerID=40&md5=02408006dca9156ce46ec3843f963f62
"Aggarwal A., Lewis D., Mason M., Sullivan R., Van Der Meulen J.",Patient Mobility for Elective Secondary Health Care Services in Response to Patient Choice Policies: A Systematic Review,2017,Medical Care Research and Review,Review,17,"London School of Hygiene and Tropical Medicine, London, United Kingdom; Cardiff University, Cardiff, United Kingdom; King's College London, London, United Kingdom; Health Equity Research Laboratory, Cambridge Health Alliance, 1035 Cambridge Street, Cambridge, MA  02141, United States",hospital bypassing; patient choice; patient mobility; provider competition,10.1177/1077558716654631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021997878&doi=10.1177%2f1077558716654631&partnerID=40&md5=4fab15f452c0e28a48a53393fcf37399
"Dimitrovski D., Todorović A.",Clustering wellness tourists in spa environment,2015,Tourism Management Perspectives,Article,17,"University of Kragujevac, Faculty of Hotel Management and Tourism, Vrnjačka Banja, Vojvodjanska 5a, Vrnjacka Banja, 36210, Serbia; University in Belgrade, Faculty of Geography, Studentski trg 3/3, Belgrade, 11000, Serbia",Cluster analysis; Motivation; Serbia; Spa; Wellness tourists,10.1016/j.tmp.2015.09.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942123047&doi=10.1016%2fj.tmp.2015.09.004&partnerID=40&md5=4fce8b19874a73f40be0fdf712b130d7
"Smith M., Puczkó L.",More than a special interest: Defining and determining the demand for health tourism,2015,Tourism Recreation Research,Article,17,"School of Tourism, Leisure and Hospitality, BKF University of Applied Sciences, 1-9 Nagy Lajos Kiraly Utja, Budapest, Hungary; Tourism and Catering Institute, BKF University of Applied Sciences, 1-9 Nagy Lajos Kiraly Utja, Budapest, Hungary",Definitions; Demand; Health tourism; Spas; Traditions; Trends; Wellness,10.1080/02508281.2015.1045364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997848641&doi=10.1080%2f02508281.2015.1045364&partnerID=40&md5=15ff300fdabb48de3b56ad5d9a07df17
"Shahijan M.K., Rezaei S., Preece C.N., Ismail W.K.W.",International Medical Travelers’ Behavioral Intention: An Empirical Study in Iran,2015,Journal of Travel and Tourism Marketing,Article,17,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM), Jalan Semarak, Level 7, Menara Razak, KualaLumpur, 51400, Malaysia; International Business School (UTM IBS), Universiti Teknologi Malaysia, Jalan Semarak, Level 10, Menara Razak, Kuala Lumpur, 51400, Malaysia; Mahna Institute, Level 10, Menara Razak, Mirdamad Boulevard, Tehran, Iran; College of Business Administration, Jazan University, Saudi Arabia","destination image; hospital accreditation; hospital service quality; Medical tourism; patient attitude; patient satisfaction; revisit intention; word of mouth, Iran",10.1080/10548408.2014.916248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939566230&doi=10.1080%2f10548408.2014.916248&partnerID=40&md5=7f085800fdd445010aa2d535f7cc6390
"Andritsos D.A., Tang C.S.",Introducing competition in healthcare services: The role of private care and increased patient mobility,2014,European Journal of Operational Research,Article,17,"HEC Paris, 1 rue de la Liberation, Jouy-en-Josas 78351, France; UCLA Anderson School of Management, 110 Westwood Plaza, Los Angeles, CA 90095, United States",Game theory; Health policy; OR in government,10.1016/j.ejor.2013.11.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892792235&doi=10.1016%2fj.ejor.2013.11.022&partnerID=40&md5=8ec635849d302b0485c0f0702b935a9a
"Lee H., Wright K.B., O'Connor M., Wombacher K.","Framing Medical Tourism: An Analysis of Persuasive Appeals, Risks and Benefits, and New Media Features of Medical Tourism Broker Websites",2014,Health Communication,Article,17,"Department of Communication, Saint Louis University, United States; Department of Communication, George Mason University, United States; Department of Communication, University of Kentucky, United States",NA,10.1080/10410236.2013.794412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899559383&doi=10.1080%2f10410236.2013.794412&partnerID=40&md5=27fb3922ecf511ffcb8fd0cbf5def114
Sarwar A.,Medical tourism in Malaysia: Prospect and challenges,2013,Iranian Journal of Public Health,Article,17,"Dept. of Business Administration, International Islamic University Malaysia, Kuala Lumpur, Malaysia",Customer service; Destination competitiveness; Medical tourism; Service quality,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886925847&partnerID=40&md5=4a8e08fa007f9df3d7a538540974822b
"Hsu P.-F., Lan K.-Y., Tsai C.-W.",Selecting the optimal vendor of customer relationship management system for medical tourism industry using delphi and AHP,2013,International Journal of Enterprise Information Systems,Article,17,"Department of Communications Management, Shih Hsin University, Taipei, Taiwan",Analytic hierarchy process; Customer relationship management; Evaluation model; Medical tourism; Modified delphi method,10.4018/jeis.2013010104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880445914&doi=10.4018%2fjeis.2013010104&partnerID=40&md5=15ac49a67817f80d2d027721f97053f2
"Crooks V.A., Cameron K., Chouinard V., Johnston R., Snyder J., Casey V.",Use of medical tourism for hip and knee surgery in osteoarthritis: A qualitative examination of distinctive attitudinal characteristics among Canadian patients,2012,BMC Health Services Research,Article,17,"Department of Geography, Simon Fraser University, 8888 University Dr, Burnaby, BC, V5A 1S6, Canada; School of Geography and Earth Sciences, McMaster University, 1280 Main Street West, Hamilton, ON, L8S 4L8, Canada; Faculty of Health Sciences, Simon Fraser University, 8888 University Dr, Burnaby, BC, V5A 1S6, Canada",NA,10.1186/1472-6963-12-417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869232605&doi=10.1186%2f1472-6963-12-417&partnerID=40&md5=bc7e48836bcc509191e7e7ec338c33bf
"Mun W.K., Musa G.","Medical tourism in Asia: Thailand, Singapore, Malaysia, and India",2012,"Medical Tourism: The Ethics, Regulation, and Marketing of Health Mobility",Book Chapter,17,"Faculty of Business and Accountancy, University of Malaya, Kuala Lumpur, Malaysia",NA,10.4324/9780203109458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902575283&doi=10.4324%2f9780203109458&partnerID=40&md5=2a0b0eb3eb27db01fcf41355629fe1c6
"Crooks V.A., Snyder J.",Medical tourism: What Canadian family physicians need to know [Tourisme médical: Ce que les médecins de famille Canadiens doivent savoir],2011,Canadian Family Physician,Note,17,"Département de Géographie, Simon Fraser University, Burnaby, BC, Canada; Faculté des Sciences de la Santé, Simon Fraser University, Canada",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956224200&partnerID=40&md5=50cd09859892c0501db3824f70b83915
"Hallem Y., Barth I.",Customer-perceived value of medical tourism: An exploratory study - The case of cosmetic surgery in Tunisia,2011,Journal of Hospitality and Tourism Management,Article,17,"EM Strasbourg Business School, France",Internet; Medical tourism; Netnography; Perceived value,10.1375/jhtm.18.1.121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865990745&doi=10.1375%2fjhtm.18.1.121&partnerID=40&md5=fa92a327179f604f45dce9b17c03ee07
Brotman B.A.,Medical tourism private hospitals: Focus India,2010,Journal of Health Care Finance,Article,17,"Kennesaw State University, Coles College of Business, GA, United States",High deductible insurance; Indian hospital chains; Indian private hospitals; Medical tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956929144&partnerID=40&md5=f3f374b37fb0a1a48f2d48e9f04048b8
Gustavo N.S.,A 21st-century approach to health tourism spas: The case of Portugal,2010,Journal of Hospitality and Tourism Management,Article,17,"Estoril Higher Institute for Tourism and Hospitality Studies (ESHTE), Avenida Condes de Barcelona, 2769-510 Estoril, Portugal",Health and body management; Health tourism; Leisure; Spas,10.1375/jhtm.17.1.127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904013580&doi=10.1375%2fjhtm.17.1.127&partnerID=40&md5=7b71766d7391da14a4978456396169bc
Connell J.,Tummy tucks and the Taj Mahal? Medical tourism and the globalization of health care,2007,"Tourism Management: Analysis, Behaviour and Strategy",Book Chapter,17,"School of Geosciences, University of Sydney, NSW 2006, Australia",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890235173&partnerID=40&md5=f93df715550d4cda4c7e4eb7e0728da6
"Esiyok B., Çakar M., Kurtulmuşoğlu F.B.",The effect of cultural distance on medical tourism,2017,Journal of Destination Marketing and Management,Article,16,"Department of Economics, Başkent University, Turkey; Department of Management, Başkent University, Turkey",Cultural distance; Diaspora; International patient; Medical specialty; Medical tourism; Religious similarity,10.1016/j.jdmm.2016.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962178031&doi=10.1016%2fj.jdmm.2016.03.001&partnerID=40&md5=80afb88c9745c3012a651227d03fbffa
